Date;Symbol;Indexvalue
16.07.2007;V1X;20.88
17.07.2007;V1X;21.41
18.07.2007;V1X;22.46
19.07.2007;V1X;21.22
20.07.2007;V1X;22.29
23.07.2007;V1X;22.56
24.07.2007;V1X;23.38
25.07.2007;V1X;24.38
26.07.2007;V1X;26.16
27.07.2007;V1X;26.2
30.07.2007;V1X;26.77
31.07.2007;V1X;24.86
01.08.2007;V1X;27.62
02.08.2007;V1X;26.06
03.08.2007;V1X;26.21
06.08.2007;V1X;26.99
07.08.2007;V1X;25.65
08.08.2007;V1X;23.78
09.08.2007;V1X;26.51
10.08.2007;V1X;28.71
13.08.2007;V1X;27.22
14.08.2007;V1X;27.69
15.08.2007;V1X;27.37
16.08.2007;V1X;31.42
17.08.2007;V1X;29.36
20.08.2007;V1X;27.99
21.08.2007;V1X;26.34
22.08.2007;V1X;24.09
23.08.2007;V1X;23.71
24.08.2007;V1X;23.02
27.08.2007;V1X;23.46
28.08.2007;V1X;25.23
29.08.2007;V1X;25.02
30.08.2007;V1X;23.3
31.08.2007;V1X;22.6
03.09.2007;V1X;22.96
04.09.2007;V1X;22.17
05.09.2007;V1X;23.98
06.09.2007;V1X;24.25
07.09.2007;V1X;26.23
10.09.2007;V1X;27.88
11.09.2007;V1X;27.21
12.09.2007;V1X;26.17
13.09.2007;V1X;24.8
14.09.2007;V1X;25.21
17.09.2007;V1X;26.94
18.09.2007;V1X;25.52
19.09.2007;V1X;20.97
20.09.2007;V1X;20.29
21.09.2007;V1X;18.93
24.09.2007;V1X;18.69
25.09.2007;V1X;19.01
26.09.2007;V1X;18.22
27.09.2007;V1X;17.78
28.09.2007;V1X;18.36
01.10.2007;V1X;18.54
02.10.2007;V1X;18.82
03.10.2007;V1X;19.15
04.10.2007;V1X;19.04
05.10.2007;V1X;17.41
08.10.2007;V1X;17.75
09.10.2007;V1X;17.46
10.10.2007;V1X;17.45
11.10.2007;V1X;17.11
12.10.2007;V1X;17.09
15.10.2007;V1X;18.52
16.10.2007;V1X;19.27
17.10.2007;V1X;18.3
18.10.2007;V1X;18.62
19.10.2007;V1X;18.4
22.10.2007;V1X;21.37
23.10.2007;V1X;20.74
24.10.2007;V1X;20.82
25.10.2007;V1X;18.93
26.10.2007;V1X;18.46
29.10.2007;V1X;18.35
30.10.2007;V1X;19.19
31.10.2007;V1X;18.79
01.11.2007;V1X;19.84
02.11.2007;V1X;20.97
05.11.2007;V1X;22.22
06.11.2007;V1X;21.22
07.11.2007;V1X;21.58
08.11.2007;V1X;22.3
09.11.2007;V1X;22.65
12.11.2007;V1X;22.63
13.11.2007;V1X;22.17
14.11.2007;V1X;22.16
15.11.2007;V1X;23.34
16.11.2007;V1X;23.26
19.11.2007;V1X;24.58
20.11.2007;V1X;22.84
21.11.2007;V1X;23.95
22.11.2007;V1X;21.98
23.11.2007;V1X;21.52
26.11.2007;V1X;22.66
27.11.2007;V1X;23.38
28.11.2007;V1X;21.6
29.11.2007;V1X;20.65
30.11.2007;V1X;19.22
03.12.2007;V1X;19.48
04.12.2007;V1X;19.71
05.12.2007;V1X;17.89
06.12.2007;V1X;17.91
07.12.2007;V1X;16.53
10.12.2007;V1X;16.83
11.12.2007;V1X;17.26
12.12.2007;V1X;15.85
13.12.2007;V1X;18.51
14.12.2007;V1X;17.97
17.12.2007;V1X;19.54
18.12.2007;V1X;19.18
19.12.2007;V1X;19.03
20.12.2007;V1X;18.43
21.12.2007;V1X;16.05
27.12.2007;V1X;28.33
28.12.2007;V1X;17.41
02.01.2008;V1X;20.36
03.01.2008;V1X;20.62
04.01.2008;V1X;21.08
07.01.2008;V1X;21.47
08.01.2008;V1X;20.41
09.01.2008;V1X;21.4
10.01.2008;V1X;21.36
11.01.2008;V1X;20.6
14.01.2008;V1X;20.67
15.01.2008;V1X;22.06
16.01.2008;V1X;22.5
17.01.2008;V1X;22.49
18.01.2008;V1X;24.36
21.01.2008;V1X;32.81
22.01.2008;V1X;33.9
23.01.2008;V1X;38.27
24.01.2008;V1X;33.63
25.01.2008;V1X;31.93
28.01.2008;V1X;31.62
29.01.2008;V1X;30.11
30.01.2008;V1X;30.43
31.01.2008;V1X;29.35
01.02.2008;V1X;26.9
04.02.2008;V1X;26.94
05.02.2008;V1X;30.65
06.02.2008;V1X;29.81
07.02.2008;V1X;31.29
08.02.2008;V1X;30.6
11.02.2008;V1X;31.37
12.02.2008;V1X;28.56
13.02.2008;V1X;27.53
14.02.2008;V1X;27.57
15.02.2008;V1X;28.61
18.02.2008;V1X;27.28
19.02.2008;V1X;27.36
20.02.2008;V1X;28.37
21.02.2008;V1X;28.3
22.02.2008;V1X;29.41
25.02.2008;V1X;28.35
26.02.2008;V1X;26.33
27.02.2008;V1X;25.45
28.02.2008;V1X;26.05
29.02.2008;V1X;28.39
03.03.2008;V1X;30.37
04.03.2008;V1X;30.56
05.03.2008;V1X;29.37
06.03.2008;V1X;29.47
07.03.2008;V1X;30.49
10.03.2008;V1X;30.89
